sample_id,feature_path,aux_feature_path,violence,self_harm,nsfw,split,source,group_id,media_type,n_frames,feature_dim,aux_dim
rwf2000_eef019612420,/kaggle/working/artifacts/features/temporal_train/rwf2000_eef019612420.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_eef019612420.npy,1,0,0,train,rwf2000,rwf2000:1dwrgrnd,video,64,768,4
rwf2000_ec9e41b38dba,/kaggle/working/artifacts/features/temporal_train/rwf2000_ec9e41b38dba.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_ec9e41b38dba.npy,1,0,0,train,rwf2000,rwf2000:1dwrgrnd,video,64,768,4
rwf2000_1028f712120c,/kaggle/working/artifacts/features/temporal_train/rwf2000_1028f712120c.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_1028f712120c.npy,1,0,0,train,rwf2000,rwf2000:1o4kghbrt3m,video,64,768,4
rwf2000_9beadb363a71,/kaggle/working/artifacts/features/temporal_train/rwf2000_9beadb363a71.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_9beadb363a71.npy,1,0,0,train,rwf2000,rwf2000:1o4kghbrt3m,video,64,768,4
rwf2000_54ae28f35d6c,/kaggle/working/artifacts/features/temporal_train/rwf2000_54ae28f35d6c.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_54ae28f35d6c.npy,1,0,0,train,rwf2000,rwf2000:1o4kghbrt3m,video,64,768,4
rwf2000_7f02b18d2293,/kaggle/working/artifacts/features/temporal_train/rwf2000_7f02b18d2293.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7f02b18d2293.npy,1,0,0,train,rwf2000,rwf2000:1o4kghbrt3m,video,64,768,4
rwf2000_468e34012139,/kaggle/working/artifacts/features/temporal_train/rwf2000_468e34012139.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_468e34012139.npy,1,0,0,train,rwf2000,rwf2000:1o4kghbrt3m,video,64,768,4
rwf2000_8e5f58e69b7a,/kaggle/working/artifacts/features/temporal_train/rwf2000_8e5f58e69b7a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_8e5f58e69b7a.npy,1,0,0,train,rwf2000,rwf2000:1xfis6lt,video,64,768,4
rwf2000_8e1f83f2368a,/kaggle/working/artifacts/features/temporal_train/rwf2000_8e1f83f2368a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_8e1f83f2368a.npy,1,0,0,train,rwf2000,rwf2000:1xfis6lt,video,64,768,4
rwf2000_a2478a033665,/kaggle/working/artifacts/features/temporal_train/rwf2000_a2478a033665.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a2478a033665.npy,1,0,0,train,rwf2000,rwf2000:1dslul5lvbc,video,64,768,4
rwf2000_028dcd0ba373,/kaggle/working/artifacts/features/temporal_train/rwf2000_028dcd0ba373.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_028dcd0ba373.npy,1,0,0,train,rwf2000,rwf2000:1dslul5lvbc,video,64,768,4
rwf2000_0a4449648906,/kaggle/working/artifacts/features/temporal_train/rwf2000_0a4449648906.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_0a4449648906.npy,1,0,0,train,rwf2000,rwf2000:1dslul5lvbc,video,64,768,4
rwf2000_09f5d0551345,/kaggle/working/artifacts/features/temporal_train/rwf2000_09f5d0551345.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_09f5d0551345.npy,1,0,0,train,rwf2000,rwf2000:1dslul5lvbc,video,64,768,4
rwf2000_11731bbe2523,/kaggle/working/artifacts/features/temporal_train/rwf2000_11731bbe2523.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_11731bbe2523.npy,1,0,0,train,rwf2000,rwf2000:1r0wz04q,video,64,768,4
rwf2000_7e0bef823380,/kaggle/working/artifacts/features/temporal_train/rwf2000_7e0bef823380.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7e0bef823380.npy,1,0,0,train,rwf2000,rwf2000:1tu4kxa51vw,video,64,768,4
rwf2000_232ff2147e05,/kaggle/working/artifacts/features/temporal_train/rwf2000_232ff2147e05.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_232ff2147e05.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_43456abb27cd,/kaggle/working/artifacts/features/temporal_train/rwf2000_43456abb27cd.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_43456abb27cd.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_c0f6aca3dc30,/kaggle/working/artifacts/features/temporal_train/rwf2000_c0f6aca3dc30.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_c0f6aca3dc30.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_57fb96bbcb33,/kaggle/working/artifacts/features/temporal_train/rwf2000_57fb96bbcb33.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_57fb96bbcb33.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_5acdbd1479dc,/kaggle/working/artifacts/features/temporal_train/rwf2000_5acdbd1479dc.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_5acdbd1479dc.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_7b21d4b09cd8,/kaggle/working/artifacts/features/temporal_train/rwf2000_7b21d4b09cd8.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7b21d4b09cd8.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_dc542d060ea8,/kaggle/working/artifacts/features/temporal_train/rwf2000_dc542d060ea8.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_dc542d060ea8.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_f4b058d63044,/kaggle/working/artifacts/features/temporal_train/rwf2000_f4b058d63044.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_f4b058d63044.npy,1,0,0,train,rwf2000,rwf2000:24e0xyyuz44,video,64,768,4
rwf2000_125a740939b9,/kaggle/working/artifacts/features/temporal_train/rwf2000_125a740939b9.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_125a740939b9.npy,1,0,0,train,rwf2000,rwf2000:2hqmrq06njs,video,64,768,4
rwf2000_4155cfa84121,/kaggle/working/artifacts/features/temporal_train/rwf2000_4155cfa84121.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_4155cfa84121.npy,1,0,0,train,rwf2000,rwf2000:2sy_elph-pi,video,64,768,4
rwf2000_c6a34ee7d99a,/kaggle/working/artifacts/features/temporal_train/rwf2000_c6a34ee7d99a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_c6a34ee7d99a.npy,1,0,0,train,rwf2000,rwf2000:2sy_elph-pi,video,64,768,4
rwf2000_15bbcd4efb14,/kaggle/working/artifacts/features/temporal_train/rwf2000_15bbcd4efb14.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_15bbcd4efb14.npy,1,0,0,train,rwf2000,rwf2000:3cqi0zcchvc,video,64,768,4
rwf2000_c89080535a98,/kaggle/working/artifacts/features/temporal_train/rwf2000_c89080535a98.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_c89080535a98.npy,1,0,0,train,rwf2000,rwf2000:3cqi0zcchvc,video,64,768,4
rwf2000_66a962d96447,/kaggle/working/artifacts/features/temporal_train/rwf2000_66a962d96447.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_66a962d96447.npy,1,0,0,train,rwf2000,rwf2000:3cqi0zcchvc,video,64,768,4
rwf2000_12e9e4505bb2,/kaggle/working/artifacts/features/temporal_train/rwf2000_12e9e4505bb2.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_12e9e4505bb2.npy,1,0,0,train,rwf2000,rwf2000:3okarbzg1uc,video,64,768,4
rwf2000_6f4b2f0fbe1a,/kaggle/working/artifacts/features/temporal_train/rwf2000_6f4b2f0fbe1a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6f4b2f0fbe1a.npy,1,0,0,train,rwf2000,rwf2000:3okarbzg1uc,video,64,768,4
rwf2000_364c8d3b81ab,/kaggle/working/artifacts/features/temporal_train/rwf2000_364c8d3b81ab.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_364c8d3b81ab.npy,1,0,0,train,rwf2000,rwf2000:3okarbzg1uc,video,64,768,4
rwf2000_7f08d6ed6c59,/kaggle/working/artifacts/features/temporal_train/rwf2000_7f08d6ed6c59.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7f08d6ed6c59.npy,1,0,0,train,rwf2000,rwf2000:3okarbzg1uc,video,64,768,4
rwf2000_0db169077d15,/kaggle/working/artifacts/features/temporal_train/rwf2000_0db169077d15.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_0db169077d15.npy,1,0,0,train,rwf2000,rwf2000:3okarbzg1uc,video,64,768,4
rwf2000_6cf2eabe8e1d,/kaggle/working/artifacts/features/temporal_train/rwf2000_6cf2eabe8e1d.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6cf2eabe8e1d.npy,1,0,0,train,rwf2000,rwf2000:3ss0e4smtk8,video,64,768,4
rwf2000_d03635e9f277,/kaggle/working/artifacts/features/temporal_train/rwf2000_d03635e9f277.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_d03635e9f277.npy,1,0,0,train,rwf2000,rwf2000:3ss0e4smtk8,video,64,768,4
rwf2000_30b1793633db,/kaggle/working/artifacts/features/temporal_train/rwf2000_30b1793633db.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_30b1793633db.npy,1,0,0,train,rwf2000,rwf2000:3vw7monbgx4,video,64,768,4
rwf2000_da6671c719c5,/kaggle/working/artifacts/features/temporal_train/rwf2000_da6671c719c5.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_da6671c719c5.npy,1,0,0,train,rwf2000,rwf2000:3kpviz7lamy,video,64,768,4
rwf2000_015b7ad5dce2,/kaggle/working/artifacts/features/temporal_train/rwf2000_015b7ad5dce2.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_015b7ad5dce2.npy,1,0,0,train,rwf2000,rwf2000:3kpviz7lamy,video,64,768,4
rwf2000_71eb2089e775,/kaggle/working/artifacts/features/temporal_train/rwf2000_71eb2089e775.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_71eb2089e775.npy,1,0,0,train,rwf2000,rwf2000:3kpviz7lamy,video,64,768,4
rwf2000_092ef615879b,/kaggle/working/artifacts/features/temporal_train/rwf2000_092ef615879b.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_092ef615879b.npy,1,0,0,train,rwf2000,rwf2000:3kpviz7lamy,video,64,768,4
rwf2000_669d00a007ef,/kaggle/working/artifacts/features/temporal_train/rwf2000_669d00a007ef.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_669d00a007ef.npy,1,0,0,train,rwf2000,rwf2000:3kpviz7lamy,video,64,768,4
rwf2000_7ea81fefed1b,/kaggle/working/artifacts/features/temporal_train/rwf2000_7ea81fefed1b.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7ea81fefed1b.npy,1,0,0,train,rwf2000,rwf2000:4hh7ymu8y9a,video,64,768,4
rwf2000_a93613ebd23c,/kaggle/working/artifacts/features/temporal_train/rwf2000_a93613ebd23c.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a93613ebd23c.npy,1,0,0,train,rwf2000,rwf2000:4hh7ymu8y9a,video,64,768,4
rwf2000_c2b99c70ecf4,/kaggle/working/artifacts/features/temporal_train/rwf2000_c2b99c70ecf4.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_c2b99c70ecf4.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_6df514fa82a0,/kaggle/working/artifacts/features/temporal_train/rwf2000_6df514fa82a0.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6df514fa82a0.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_70c233c5b885,/kaggle/working/artifacts/features/temporal_train/rwf2000_70c233c5b885.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_70c233c5b885.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_a2faca066457,/kaggle/working/artifacts/features/temporal_train/rwf2000_a2faca066457.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a2faca066457.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_7bfc026adf0c,/kaggle/working/artifacts/features/temporal_train/rwf2000_7bfc026adf0c.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7bfc026adf0c.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_79b8421f34e6,/kaggle/working/artifacts/features/temporal_train/rwf2000_79b8421f34e6.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_79b8421f34e6.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_6ce9a0016e68,/kaggle/working/artifacts/features/temporal_train/rwf2000_6ce9a0016e68.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6ce9a0016e68.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_3cb70986d35a,/kaggle/working/artifacts/features/temporal_train/rwf2000_3cb70986d35a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_3cb70986d35a.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_5e54c2dbb4ff,/kaggle/working/artifacts/features/temporal_train/rwf2000_5e54c2dbb4ff.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_5e54c2dbb4ff.npy,1,0,0,train,rwf2000,rwf2000:4rqdg4i4iak,video,64,768,4
rwf2000_8af30d28324a,/kaggle/working/artifacts/features/temporal_train/rwf2000_8af30d28324a.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_8af30d28324a.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_13bdf975be77,/kaggle/working/artifacts/features/temporal_train/rwf2000_13bdf975be77.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_13bdf975be77.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_d1de8a97729e,/kaggle/working/artifacts/features/temporal_train/rwf2000_d1de8a97729e.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_d1de8a97729e.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_6f581f4432a1,/kaggle/working/artifacts/features/temporal_train/rwf2000_6f581f4432a1.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6f581f4432a1.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_4d19ce4eaec4,/kaggle/working/artifacts/features/temporal_train/rwf2000_4d19ce4eaec4.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_4d19ce4eaec4.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_85a703a36420,/kaggle/working/artifacts/features/temporal_train/rwf2000_85a703a36420.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_85a703a36420.npy,1,0,0,train,rwf2000,rwf2000:4ytlgidoxbo,video,64,768,4
rwf2000_5576554650d5,/kaggle/working/artifacts/features/temporal_train/rwf2000_5576554650d5.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_5576554650d5.npy,1,0,0,train,rwf2000,rwf2000:4yzwssis,video,64,768,4
rwf2000_247b2d9b572c,/kaggle/working/artifacts/features/temporal_train/rwf2000_247b2d9b572c.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_247b2d9b572c.npy,1,0,0,train,rwf2000,rwf2000:5qqdgtweqsi,video,64,768,4
rwf2000_83e1e4c81842,/kaggle/working/artifacts/features/temporal_train/rwf2000_83e1e4c81842.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_83e1e4c81842.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_f55d2089f8d6,/kaggle/working/artifacts/features/temporal_train/rwf2000_f55d2089f8d6.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_f55d2089f8d6.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_7e14356303c9,/kaggle/working/artifacts/features/temporal_train/rwf2000_7e14356303c9.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7e14356303c9.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_6b0a12578bdb,/kaggle/working/artifacts/features/temporal_train/rwf2000_6b0a12578bdb.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_6b0a12578bdb.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_fa7c6eebecbe,/kaggle/working/artifacts/features/temporal_train/rwf2000_fa7c6eebecbe.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_fa7c6eebecbe.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_7f4ad3021390,/kaggle/working/artifacts/features/temporal_train/rwf2000_7f4ad3021390.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_7f4ad3021390.npy,1,0,0,train,rwf2000,rwf2000:6dej3-k3mre,video,64,768,4
rwf2000_56e20e826f00,/kaggle/working/artifacts/features/temporal_train/rwf2000_56e20e826f00.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_56e20e826f00.npy,1,0,0,train,rwf2000,rwf2000:6tdf,video,64,768,4
rwf2000_3f29d3cd0ab3,/kaggle/working/artifacts/features/temporal_train/rwf2000_3f29d3cd0ab3.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_3f29d3cd0ab3.npy,1,0,0,train,rwf2000,rwf2000:6tdf,video,64,768,4
rwf2000_3ebe07ba4946,/kaggle/working/artifacts/features/temporal_train/rwf2000_3ebe07ba4946.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_3ebe07ba4946.npy,1,0,0,train,rwf2000,rwf2000:6tdf,video,64,768,4
rwf2000_2ec5102ad297,/kaggle/working/artifacts/features/temporal_train/rwf2000_2ec5102ad297.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_2ec5102ad297.npy,1,0,0,train,rwf2000,rwf2000:6tdf,video,64,768,4
rwf2000_ca728c60f612,/kaggle/working/artifacts/features/temporal_train/rwf2000_ca728c60f612.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_ca728c60f612.npy,1,0,0,train,rwf2000,rwf2000:6tdf,video,64,768,4
rwf2000_71b65a84b8d1,/kaggle/working/artifacts/features/temporal_train/rwf2000_71b65a84b8d1.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_71b65a84b8d1.npy,1,0,0,train,rwf2000,rwf2000:6mriicaq2fi,video,64,768,4
rwf2000_22c3bba45f2d,/kaggle/working/artifacts/features/temporal_train/rwf2000_22c3bba45f2d.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_22c3bba45f2d.npy,1,0,0,train,rwf2000,rwf2000:6mriicaq2fi,video,64,768,4
rwf2000_57c6ecdcfcdd,/kaggle/working/artifacts/features/temporal_train/rwf2000_57c6ecdcfcdd.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_57c6ecdcfcdd.npy,1,0,0,train,rwf2000,rwf2000:6mriicaq2fi,video,64,768,4
rwf2000_dddcfd900585,/kaggle/working/artifacts/features/temporal_train/rwf2000_dddcfd900585.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_dddcfd900585.npy,1,0,0,train,rwf2000,rwf2000:7lnofksl2rs,video,64,768,4
rwf2000_0d36a55ea3c6,/kaggle/working/artifacts/features/temporal_train/rwf2000_0d36a55ea3c6.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_0d36a55ea3c6.npy,1,0,0,train,rwf2000,rwf2000:7r1m3v8c30g,video,64,768,4
rwf2000_4214fdcd8e02,/kaggle/working/artifacts/features/temporal_train/rwf2000_4214fdcd8e02.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_4214fdcd8e02.npy,1,0,0,train,rwf2000,rwf2000:7r1m3v8c30g,video,64,768,4
rwf2000_a807e0fa2810,/kaggle/working/artifacts/features/temporal_train/rwf2000_a807e0fa2810.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a807e0fa2810.npy,1,0,0,train,rwf2000,rwf2000:7r1m3v8c30g,video,64,768,4
rwf2000_d11ca3ee999f,/kaggle/working/artifacts/features/temporal_train/rwf2000_d11ca3ee999f.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_d11ca3ee999f.npy,1,0,0,train,rwf2000,rwf2000:7xe6eysgkeu,video,64,768,4
rwf2000_b98dd7705b7d,/kaggle/working/artifacts/features/temporal_train/rwf2000_b98dd7705b7d.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_b98dd7705b7d.npy,1,0,0,train,rwf2000,rwf2000:7qtrgyfsk3s,video,64,768,4
rwf2000_a767ede8bc36,/kaggle/working/artifacts/features/temporal_train/rwf2000_a767ede8bc36.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a767ede8bc36.npy,1,0,0,train,rwf2000,rwf2000:7qtrgyfsk3s,video,64,768,4
rwf2000_eaef5315064f,/kaggle/working/artifacts/features/temporal_train/rwf2000_eaef5315064f.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_eaef5315064f.npy,1,0,0,train,rwf2000,rwf2000:88ndrvazpe8,video,64,768,4
rwf2000_a47ad53460ce,/kaggle/working/artifacts/features/temporal_train/rwf2000_a47ad53460ce.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_a47ad53460ce.npy,1,0,0,train,rwf2000,rwf2000:88ndrvazpe8,video,64,768,4
rwf2000_03c799dc5511,/kaggle/working/artifacts/features/temporal_train/rwf2000_03c799dc5511.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_03c799dc5511.npy,1,0,0,train,rwf2000,rwf2000:89uqqpur4q4,video,64,768,4
rwf2000_9aefaf47f320,/kaggle/working/artifacts/features/temporal_train/rwf2000_9aefaf47f320.npy,/kaggle/working/artifacts/aux_features/temporal_train/rwf2000_9aefaf47f320.npy,1,0,0,train,rwf2000,rwf2000:8mxsp2rtu6m,video,64,768,4
